amostra,catalogo,item,lote,produto,quantidade,ampla_concorrencia,valor_unitario
Sim,Sim,1,1,Cadeira Interlocutor,5905,Sim,"R$ 0,00"
Sim,Sim,2,1,Cadeira giratória operacional,4885,Sim,"R$ 0,00"
Sim,Sim,3,1,Cadeira giratória,3224,Sim,"R$ 0,00"
Sim,Sim,4,1,Cadeira Giratória c/ braços e ap. de cabeça,4100,Sim,"R$ 0,00"
Sim,Sim,5,1,Cadeira giratória,1501,Sim,"R$ 0,00"
Sim,Sim,6,1,cadeira fixa,2723,Sim,"R$ 0,00"
Sim,Sim,7,1,Cadeira Giratória - obeso,1262,Sim,"R$ 0,00"
Sim,Sim,8,1,Longarina estofada - 02 lugares,396,Sim,"R$ 0,00"
Sim,Sim,9,1,Longarina estofada - 03 lugares,1101,Sim,"R$ 0,00"
Sim,Sim,10,1,Longarina aço - 03 lugares,1175,Sim,"R$ 0,00"
Sim,Sim,11,1,Longarina aço - 04 lugares,900,Sim,"R$ 0,00"
Sim,Sim,1,2,Sofá 01 lugar,823,Sim,"R$ 0,00"
Sim,Sim,2,2,Sofá 02 lugares,1466,Sim,"R$ 0,00"
Sim,Sim,3,2,Sofá 03 lugares,1281,Sim,"R$ 0,00"
Sim,Sim,1,3,Mesa reta,951,Sim,"R$ 0,00"
Sim,Sim,2,3,Mesa reta,1866,Sim,"R$ 0,00"
Sim,Sim,3,3,Mesa reta,1326,Sim,"R$ 0,00"
Sim,Sim,4,3,Mesa em L,1739,Sim,"R$ 0,00"
Sim,Sim,5,3,Mesa em L,2035,Sim,"R$ 0,00"
Sim,Sim,6,3,Mesa gerencial,1291,Sim,"R$ 0,00"
Sim,Sim,7,3,Mesa gerencial,976,Sim,"R$ 0,00"
Sim,Sim,8,3,Mesa em L,571,Sim,"R$ 0,00"
Sim,Sim,9,3,Mesa redonda - reunião,208,Sim,"R$ 0,00"
Sim,Sim,10,3,Mesa redonda - reunião,225,Sim,"R$ 0,00"
Sim,Sim,11,3,Mesa redonda - reunião,279,Sim,"R$ 0,00"
Sim,Sim,12,3,Mesa - reunião,146,Sim,"R$ 0,00"
Sim,Sim,13,3,Mesa - reunião,102,Sim,"R$ 0,00"
Sim,Sim,14,3,Mesa - reunião,72,Sim,"R$ 0,00"
Sim,Sim,15,3,Mesa - reunião,58,Sim,"R$ 0,00"
Sim,Sim,16,3,Mesa rebatível,192,Sim,"R$ 0,00"
Sim,Sim,17,3,Mesa rebatível,328,Sim,"R$ 0,00"
Sim,Sim,18,3,Divisória,130,Sim,"R$ 0,00"
Sim,Sim,19,3,Divisória,132,Sim,"R$ 0,00"
Sim,Sim,20,3,Divisória,74,Sim,"R$ 0,00"
Sim,Sim,21,3,Divisória,159,Sim,"R$ 0,00"
Sim,Sim,22,3,Armário locker,1054,Sim,"R$ 0,00"
Sim,Sim,23,3,Gaveteiro c/ rodízios,3938,Sim,"R$ 0,00"
Sim,Sim,24,3,Gaveteiro,1100,Sim,"R$ 0,00"
Sim,Sim,25,3,Armário baixo,3076,Sim,"R$ 0,00"
Sim,Sim,26,3,Armário médio,1518,Sim,"R$ 0,00"
Sim,Sim,27,3,Armário alto,3186,Sim,"R$ 0,00"
Sim,Sim,28,3,Armário alto,1217,Sim,"R$ 0,00"
Sim,Sim,29,3,Armário alto,1669,Sim,"R$ 0,00"
Sim,Sim,1,4,Poltrona de Auditório,781,Sim,"R$ 0,00"
Sim,Sim,2,4,Poltrona de Auditório - PMR,59,Sim,"R$ 0,00"
Sim,Sim,3,4,Poltrona de Auditório - obeso,63,Sim,"R$ 0,00"
