document_id,filename_pdf,pdf_sha256,num_pages,orgao_codigo,orgao_nome,processo,pregão,conlicitacao,etapa,oc_bb_uasg,uf,quadrante,data_publicacao,data_hora_disputa,data_solicitacao,data_agendamento,responsavel,realizado_analise,amostra,catalogo,valor_teto,ticket_medio,meses_garantia,lote,item,nome_real,quantidade,valor_unitario,ampla_concorrencia,produto_cadastrado,garantia,amostra_item,catalogo_item,normas_tecnicas,pagina,fonte,evidencia,match_score,hint_produto
edital 4,edital 4.pdf,6c59e93b68f54c9173ae0cac81d224c27adcd3d1159417aa73fa025d367dcb14,194,,,,,,,,,,,,,,,,,,,,,,1.2,"A presente Licitação do tipo menor preço POR LOTE, será integralmente conduzida pelo(a) Pregoeiro(a) e será regida pela",2024,,,,,,,,4,pdf_tabela,"TABELA p.4 | trecho=""1.2 A presente Licitação do tipo menor preço POR LOTE, será integralmente""",0,
edital 4,edital 4.pdf,6c59e93b68f54c9173ae0cac81d224c27adcd3d1159417aa73fa025d367dcb14,194,,,,,,,,,,,,,,,,,,,,,,1.5,"Este Edital estará disponível gratuitamente, no site www.licitanet.com.br, e no site do SENAC/SE, www.se.senac.br ou no",2,,,,,,,,4,pdf_tabela,"TABELA p.4 | trecho=""1.5 Este Edital estará disponível gratuitamente, no site www.licitanet.com.br, e""",0,
edital 4,edital 4.pdf,6c59e93b68f54c9173ae0cac81d224c27adcd3d1159417aa73fa025d367dcb14,194,,,,,,,,,,,,,,,,,,,,,,2.1.1,Recebimento das Propostas: De acordo com o ITEM,2,,,,,,,,5,pdf_tabela,"TABELA p.5 | trecho=""Item 2.1.1 - Recebimento das Propostas: De acordo com o ITEM""",0,
edital 4,edital 4.pdf,6c59e93b68f54c9173ae0cac81d224c27adcd3d1159417aa73fa025d367dcb14,194,,,,,,,,,,,,,,,,,,,,,,2.1.2,Abertura das Propostas: De acordo com o ITEM,3,,,,,,,,5,pdf_tabela,"TABELA p.5 | trecho=""2.1.2 Abertura das Propostas:""",0,
edital 4,edital 4.pdf,6c59e93b68f54c9173ae0cac81d224c27adcd3d1159417aa73fa025d367dcb14,194,,,,,,,,,,,,,,,,,,,,,,2.1.3,Início da Sessão Pública de Disputa de Preços: De acordo com o ITEM,4,,,,,,,,5,pdf_tabela,"TABELA p.5 | trecho=""2.1.3 Início da Sessão Pública de Disputa de Preços:""",0,
edital 4,edital 4.pdf,6c59e93b68f54c9173ae0cac81d224c27adcd3d1159417aa73fa025d367dcb14,194,,,,,,,,,,,,,,,,,,,,,,2.2,"Todas as referências de tempo no Edital, no aviso e durante a Sessão Pública observarão obrigatoriamente o horário de",3,,,,,,,,5,pdf_tabela,"TABELA p.5 | trecho=""| 2.2 Todas as referências de tempo no Edital, no aviso e durante a Sessão""",0,
edital 4,edital 4.pdf,6c59e93b68f54c9173ae0cac81d224c27adcd3d1159417aa73fa025d367dcb14,194,,,,,,,,,,,,,,,,,,,,,,3.1,Constitui objeto da presente Licitação aquele indicado no ITEM,4,,,,,,,,5,pdf_tabela,"TABELA p.5 | trecho=""3.1 Constitui objeto da presente Licitação aquele indicado no ITEM - 1 do""",0,
edital 4,edital 4.pdf,6c59e93b68f54c9173ae0cac81d224c27adcd3d1159417aa73fa025d367dcb14,194,,,,,,,,,,,,,,,,,,,,,,2,do preâmbulo deste EDITAL,,,,,,,,,5,pdf_text,"TEXTO p.5 | trecho=""De acordo com o ITEM - 2 do preâmbulo deste EDITAL.""",0,
edital 4,edital 4.pdf,6c59e93b68f54c9173ae0cac81d224c27adcd3d1159417aa73fa025d367dcb14,194,,,,,,,,,,,,,,,,,,,,,,3,do preâmbulo deste EDITAL,,,,,,,,,5,pdf_text,"TEXTO p.5 | trecho=""De acordo com o ITEM - 2 do preâmbulo deste EDITAL.""",0,
edital 4,edital 4.pdf,6c59e93b68f54c9173ae0cac81d224c27adcd3d1159417aa73fa025d367dcb14,194,,,,,,,,,,,,,,,,,,,,,,4,do preâmbulo deste EDITAL,,,,,,,,,5,pdf_text,"TEXTO p.5 | trecho=""De acordo com o ITEM - 2 do preâmbulo deste EDITAL.""",0,
