document_id,filename_pdf,pdf_sha256,num_pages,orgao_codigo,orgao_nome,processo,pregão,conlicitacao,etapa,oc_bb_uasg,uf,quadrante,data_publicacao,data_hora_disputa,data_solicitacao,data_agendamento,responsavel,realizado_analise,amostra,catalogo,valor_teto,ticket_medio,meses_garantia,lote,item,nome_real,quantidade,valor_unitario,ampla_concorrencia,produto_cadastrado,garantia,amostra_item,catalogo_item,normas_tecnicas,pagina,fonte,evidencia,match_score,hint_produto
edital3,edital3.pdf,77b99c97cd0532f885080fa95faa8ead9b7757036ee2a0e890c2403a97202744,123,,,,,,,,,,,,,,,,Sim,Sim,,,,1,1,Lote 1: Item 1: Cadeira Interlocução 01 unidade,,,,,,,,,24,pdf_tabela,"TABELA p.24 | linha=""Lote 1: Item 1: Cadeira Interlocução 01 unidade""",59.375,Cadeira Interlocutor
edital3,edital3.pdf,77b99c97cd0532f885080fa95faa8ead9b7757036ee2a0e890c2403a97202744,123,,,,,,,,,,,,,,,,Sim,Sim,,,,1,2,Lote 2: Item 1: Sofá Operacional (01 lugar) 01 unidade,,,,,,,,,24,pdf_tabela,"TABELA p.24 | linha=""Lote 2: Item 1: Sofá Operacional (01 lugar) 01 unidade""",33.73493975903614,Cadeira giratória operacional
edital3,edital3.pdf,77b99c97cd0532f885080fa95faa8ead9b7757036ee2a0e890c2403a97202744,123,,,,,,,,,,,,,,,,Sim,Sim,,,,1,3,"Lote 3: Item 4: Mesa do Tipo “L” – 1,40 01 unidade",,,,,,,,,54,pdf_tabela,"TABELA p.54 | linha=""Lote 3: Item 4: Mesa do Tipo “L” – 1,40 01 unidade""",17.910447761194035,Cadeira giratória
edital3,edital3.pdf,77b99c97cd0532f885080fa95faa8ead9b7757036ee2a0e890c2403a97202744,123,,,,,,,,,,,,,,,,Sim,Sim,,,,1,4,Lote 4: Item 1: Poltrona Auditório 01 unidade,,,,,,,,,25,pdf_tabela,"TABELA p.25 | linha=""Lote 4: Item 1: Poltrona Auditório 01 unidade""",31.818181818181813,Cadeira Giratória c/ braços e ap. de cabeça
edital3,edital3.pdf,77b99c97cd0532f885080fa95faa8ead9b7757036ee2a0e890c2403a97202744,123,,,,,,,,,,,,,,,,Sim,Sim,,,,1,5,1 5 CADEIRAGIRATÓRIAREUNIÃO 4814251 Unidade 1501 R$ R$,,,,,,,,,80,pdf_tabela,"TABELA p.80 | linha=""1 5 CADEIRAGIRATÓRIAREUNIÃO 4814251 Unidade 1501 R$ R$""",11.764705882352942,Cadeira giratória
edital3,edital3.pdf,77b99c97cd0532f885080fa95faa8ead9b7757036ee2a0e890c2403a97202744,123,,,,,,,,,,,,,,,,Sim,Sim,,,,1,6,"3 6 MESAGERENCIAL-COM ARMÁRIO – 1,60 625231 Unidade 2661 R$ R$",,,,,,,,,89,pdf_tabela,"TABELA p.89 | linha=""3 6 MESAGERENCIAL-COM ARMÁRIO – 1,60 625231 Unidade 2661 R$ R$""",11.267605633802816,cadeira fixa
edital3,edital3.pdf,77b99c97cd0532f885080fa95faa8ead9b7757036ee2a0e890c2403a97202744,123,,,,,,,,,,,,,,,,Sim,Sim,,,,1,7,7 MESA GERENCIAL - COM ARMÁRIO – 601721 976,,,,,,,,,34,pdf_tabela,"TABELA p.34 | linha=""7 MESA GERENCIAL - COM ARMÁRIO – 601721 976""",17.647058823529406,Cadeira Giratória - obeso
edital3,edital3.pdf,77b99c97cd0532f885080fa95faa8ead9b7757036ee2a0e890c2403a97202744,123,,,,,,,,,,,,,,,,Sim,Sim,,,,1,8,"3 8 MESADOTIPOEM""L""PRESIDÊNCIA 613279 Unidade 571 R$ R$",,,,,,,,,89,pdf_tabela,"TABELA p.89 | linha=""3 8 MESADOTIPOEM""L""PRESIDÊNCIA 613279 Unidade 571 R$ R$""",21.686746987951807,Longarina estofada - 02 lugares
edital3,edital3.pdf,77b99c97cd0532f885080fa95faa8ead9b7757036ee2a0e890c2403a97202744,123,,,,,,,,,,,,,,,,Sim,Sim,,,,1,9,"3 9 MESADEREUNIÃOREDONDA - 1,00 601423 Unidade 208 R$ R$",,,,,,,,,89,pdf_tabela,"TABELA p.89 | linha=""3 9 MESADEREUNIÃOREDONDA - 1,00 601423 Unidade 208 R$ R$""",23.80952380952381,Longarina estofada - 03 lugares
edital3,edital3.pdf,77b99c97cd0532f885080fa95faa8ead9b7757036ee2a0e890c2403a97202744,123,,,,,,,,,,,,,,,,Sim,Sim,,,,1,10,"3 10 MESADEREUNIÃOREDONDA - 1,20 608485 Unidade 225 R$ R$",,,,,,,,,90,pdf_tabela,"TABELA p.90 | linha=""3 10 MESADEREUNIÃOREDONDA - 1,20 608485 Unidade 225 R$ R$""",22.5,Longarina aço - 03 lugares
edital3,edital3.pdf,77b99c97cd0532f885080fa95faa8ead9b7757036ee2a0e890c2403a97202744,123,,,,,,,,,,,,,,,,Sim,Sim,,,,1,11,"3 11 MESADEREUNIÃOREDONDA - 1,40 207637 Unidade 279 R$ R$",,,,,,,,,90,pdf_tabela,"TABELA p.90 | linha=""3 11 MESADEREUNIÃOREDONDA - 1,40 207637 Unidade 279 R$ R$""",20.0,Longarina aço - 04 lugares
