document_id,filename_pdf,pdf_sha256,num_pages,orgao_codigo,orgao_nome,processo,pregão,conlicitacao,etapa,oc_bb_uasg,uf,quadrante,data_publicacao,data_hora_disputa,data_solicitacao,data_agendamento,responsavel,realizado_analise,amostra,catalogo,valor_teto,ticket_medio,meses_garantia,lote,item,nome_real,quantidade,valor_unitario,ampla_concorrencia,produto_cadastrado,garantia,amostra_item,catalogo_item,normas_tecnicas,pagina,fonte,evidencia,match_score,hint_produto
edital 8,edital 8.pdf,969cb78213dd11dc51174b70bac2cb49170ff388510ddc1bceb9bc210cc1fc38,65,,,,,,,,,,,,,,,,,,,,,,17,DA CONTRATAÇÃO 18 . DA SUBCONTRATAÇÃO 19 . DA GARANTIA FINANCEIRA DA EXECUÇÃO 20 . DO PAGAMENTO 21 . DAS SANÇÕES,2,,,,,,,,2,pdf_tabela,"TABELA p.2 | trecho=""17. DA CONTRATAÇÃO""",0,
edital 8,edital 8.pdf,969cb78213dd11dc51174b70bac2cb49170ff388510ddc1bceb9bc210cc1fc38,65,,,,,,,,,,,,,,,,,,,,,,5,"3 . 2 . fica limitada às microempresas e às empresas de pequeno porte que, no ano-calendário de realização do",3,,,,,,,,3,pdf_tabela,"TABELA p.3 | trecho=""aplicação dos limites previstos nos subitens 5.3.1. e 5.3.2.""",0,
edital 8,edital 8.pdf,969cb78213dd11dc51174b70bac2cb49170ff388510ddc1bceb9bc210cc1fc38,65,,,,,,,,,,,,,,,,,,,,,,5,8 . 4 . 3 . 1 . O impedimento de que trata o item anterior será também aplicado ao licitante que atue em substituição a,4,,,,,,,,4,pdf_tabela,"TABELA p.4 | trecho=""5.843.1. O impedimento de que trata o item anterior será também aplicado ao licitante que atue em substituição a outra""",0,
edital 8,edital 8.pdf,969cb78213dd11dc51174b70bac2cb49170ff388510ddc1bceb9bc210cc1fc38,65,,,,,,,,,,,,,,,,,,,,,,01,1918400,,,,,,,,,5,pdf_text,"TEXTO p.5 | trecho=""Item 01 - 1918400""",0,
edital 8,edital 8.pdf,969cb78213dd11dc51174b70bac2cb49170ff388510ddc1bceb9bc210cc1fc38,65,,,,,,,,,,,,,,,,,,,,,,02,1328948,,,,,,,,,5,pdf_text,"TEXTO p.5 | trecho=""Item 02 - 1328948""",0,
edital 8,edital 8.pdf,969cb78213dd11dc51174b70bac2cb49170ff388510ddc1bceb9bc210cc1fc38,65,,,,,,,,,,,,,,,,,,,,,,03,1405926,,,,,,,,,5,pdf_text,"TEXTO p.5 | trecho=""Item 03 - 1405926""",0,
edital 8,edital 8.pdf,969cb78213dd11dc51174b70bac2cb49170ff388510ddc1bceb9bc210cc1fc38,65,,,,,,,,,,,,,,,,,,,,,,04,1367048,,,,,,,,,5,pdf_text,"TEXTO p.5 | trecho=""Item 04 - 1367048""",0,
edital 8,edital 8.pdf,969cb78213dd11dc51174b70bac2cb49170ff388510ddc1bceb9bc210cc1fc38,65,,,,,,,,,,,,,,,,,,,,,,05,1742957,,,,,,,,,5,pdf_text,"TEXTO p.5 | trecho=""Item 05 - 1742957""",0,
edital 8,edital 8.pdf,969cb78213dd11dc51174b70bac2cb49170ff388510ddc1bceb9bc210cc1fc38,65,,,,,,,,,,,,,,,,,,,,,,06,1529501,,,,,,,,,5,pdf_text,"TEXTO p.5 | trecho=""Item 06 - 1529501""",0,
edital 8,edital 8.pdf,969cb78213dd11dc51174b70bac2cb49170ff388510ddc1bceb9bc210cc1fc38,65,,,,,,,,,,,,,,,,,,,,,,07,1523864,,,,,,,,,5,pdf_text,"TEXTO p.5 | trecho=""Item 07 - 1523864""",0,
