document_id,filename_pdf,pdf_sha256,num_pages,orgao_codigo,orgao_nome,processo,pregão,conlicitacao,etapa,oc_bb_uasg,uf,quadrante,data_publicacao,data_hora_disputa,data_solicitacao,data_agendamento,responsavel,realizado_analise,amostra,catalogo,valor_teto,ticket_medio,meses_garantia,lote,item,nome_real,quantidade,valor_unitario,ampla_concorrencia,produto_cadastrado,garantia,amostra_item,catalogo_item,normas_tecnicas,pagina,fonte,evidencia,match_score,hint_produto
edital 9,edital 9.pdf,34a76e3efff465abe775dfe1f77667035c75d5655c6775dee8e530edb05c1c55,49,,,,,,,,,,,,,,,,,,,,,,1,E GRUPO,,,,,,,,,1,pdf_text,"TEXTO p.1 | trecho=""AMPLA CONCORRÊNCIA - ITEM 1 E GRUPO 1""",0,
edital 9,edital 9.pdf,34a76e3efff465abe775dfe1f77667035c75d5655c6775dee8e530edb05c1c55,49,,,,,,,,,,,,,,,,,,,,,,2,MODO DE DISPUTA ABERTO,,,,,,,,,1,pdf_text,"TEXTO p.1 | trecho=""PORTE (EPP) ITEM 2""",0,
edital 9,edital 9.pdf,34a76e3efff465abe775dfe1f77667035c75d5655c6775dee8e530edb05c1c55,49,,,,,,,,,,,,,,,,,,,,,,2,"previsto no Anexo I do Edital, poderão registrar proposta e participar",,,,,,,,,4,pdf_text,"TEXTO p.4 | trecho=""empresa a que se referem os subitens 4.4.2 e 4.4.3 poderão participar no apoio das""",0,
edital 9,edital 9.pdf,34a76e3efff465abe775dfe1f77667035c75d5655c6775dee8e530edb05c1c55,49,,,,,,,,,,,,,,,,,,,,,,1,CADEIRA TIPO POLTRONA GIRATÓRIA PADRÃO,,,,,,,,,9,pdf_text,"TEXTO p.9 | trecho=""11.3.1 É facultado ao pregoeiro prorrogar o prazo estabelecido, a partir de solicitação""",0,
edital 9,edital 9.pdf,34a76e3efff465abe775dfe1f77667035c75d5655c6775dee8e530edb05c1c55,49,,,,,,,,,,,,,,,,,,,,,,1,13.4.1- Comprovação de aptidão para o fornecimento de bens similares de complexidade,,,,,,,,,12,pdf_text,"TEXTO p.12 | trecho=""13.1.1 - SICAF, a fim de verificar a composição societária das empresas e certificar""",0,
edital 9,edital 9.pdf,34a76e3efff465abe775dfe1f77667035c75d5655c6775dee8e530edb05c1c55,49,,,,,,,,,,,,,,,,,,,,,,1,deverá o licitante comprovar os,,,,,,,,,28,pdf_text,"TEXTO p.28 | trecho=""13.1. É de inteira responsabilidade das empresas o preenchimento exato de suas propostas,""",0,
edital 9,edital 9.pdf,34a76e3efff465abe775dfe1f77667035c75d5655c6775dee8e530edb05c1c55,49,,,,,,,,,,,,,,,,,,,,,,1,CADEIRA TIPO POLTRONA GIRATÓRIA PADRÃO MAGISTRADO SERVIDOR,,,,,,,,,32,pdf_text,"TEXTO p.32 | trecho=""Item 1 - CADEIRA TIPO POLTRONA GIRATÓRIA PADRÃO MAGISTRADO SERVIDOR""",0,
edital 9,edital 9.pdf,34a76e3efff465abe775dfe1f77667035c75d5655c6775dee8e530edb05c1c55,49,,,,,,,,,,,,,,,,,,,,,,1,1 - Certificado de conformidade de acordo com a NBR 13962:2018 - Móveis para Escritório,,,,,,,,,34,pdf_text,"TEXTO p.34 | trecho=""Documentação a ser apresentada referente ao Item 1:""",0,
edital 9,edital 9.pdf,34a76e3efff465abe775dfe1f77667035c75d5655c6775dee8e530edb05c1c55,49,,,,,,,,,,,,,,,,,,,,,,2,LONGARINA 3 LUGARES EM POLIPROPILENO,,,,,,,,,36,pdf_text,"TEXTO p.36 | trecho=""Item 2 - LONGARINA 3 LUGARES EM POLIPROPILENO""",0,
edital 9,edital 9.pdf,34a76e3efff465abe775dfe1f77667035c75d5655c6775dee8e530edb05c1c55,49,,,,,,,,,,,,,,,,,,,,,,3,SOFÁ DE 3 LUGARES,,,,,,,,,36,pdf_text,"TEXTO p.36 | trecho=""ITEM 3 - SOFÁ DE 3 LUGARES""",0,
edital 9,edital 9.pdf,34a76e3efff465abe775dfe1f77667035c75d5655c6775dee8e530edb05c1c55,49,,,,,,,,,,,,,,,,,,,,,,4,SOFÁ DE 2 LUGARES,,,,,,,,,37,pdf_text,"TEXTO p.37 | trecho=""ITEM 4 - SOFÁ DE 2 LUGARES""",0,
